YEAR,PRICE
2009,0.04
,0.05
,0.05
,0.07
,0.07
,0.19
,0.19
,0.30
,0.33
,0.44
,0.40
,0.49
,0.54
,0.6
,0.61
,0.5
,0.62
,0.72
,0.71
,0.88
,0.89
2010,1.05
,1.94
,1.38
,1.37
,1.33
,1.92
,1.13
,1.10
,2.21
,2.31
,3.08
,3.19
,3.29
,2.49
,2.69
,3.17
,3.87
,3.77
,4.5
2011,5.38
,5.34
,5.14
,4.86
,4.12
,2.4
,3.06
,3.37
,3.1
,2.7
,2.61
,3.09
,3.09
,3.41
,4.14
,4.34
2012,5.61
,6.93
,6.33
,6.19
,6.03
,5.76
,4.87
,4.72
,4.95
,4.98
,5.26
,4.95
,4.82
,4.9
,4.87
,5.09
,5.06
,5.04
,5.02
,4.99
,5.07
,5.11
,5.41
,5.87
,6.4
,6.45
,6.56
,7.11
,8.34
,8.64
,9.57
,10.91
,12.67
,9.82
,10.75
,10.57
,11.02
,12
,12
,12.47
,11.76
,11.67
,11.05
,10.7
,10.64
,11.05
,11.7
,12.22
,12.9
,13.39
,13.15
,13.11
,13.11
2013,13.51
,14.66
,17.34
,19.24
,21.07
,25.29
,28.42
,32.23
,41.26
,45.27
,61.23
,83.06
,124.25
,128.54
,89.87
,134.08
,112.96
,113.16
,112.96
,121.85
,127.95
,117.85
,100.89
,102.73
,95.26
,77.43
,82.39
,87.93
,87.51
,95.66
,95.67
,97.63
,106.24
,119.79
,124.21
,123.14
,125.59
,124.35
,114.6
,124.94
,145.77
,184.35
,198.88
,276.22
,362.39
,601.5
,932.18
,897.89
,859.42
,620.16
,685.62
,765.76
2014,859.77
,822.01
,808.33
,791.86
,733.78
,645.01
,603.83
,538.2
,642.5
,634.69
,593.39
,531.57
,455.93
,410
,483.91
,477.68
,445.15
,439.93
,443.16
,498.61
,583.67
,650.25
,599.73
,593.39
,581.15
,635.36
,624.59
,623.47
,609.69
,583.62
,584.94
,529.74
,493.93
,508.43
,481.83
,473.36
,427.44
,414.67
,368.8
,332.44
,387.54
,369.06
,343.19
,335.52
,397.92
,375.73
,374.66
,374.78
,355.65
,326.4
,325.95
,307.82
2015,278.18
,210.35
,222.71
,253.06
,225.75
,229.63
,242.78
,243.85
,269.87
,287.8
,269.27
,252.16
,246.92
,246.3
,223.59
,230.36
,226.55
,236.73
,239.35
,235.31
,235.85
,225.05
,228.14
,243.74
,243.67
,256.94
,274.7
,289.96
,280.7
,289.23
,278.54
,265.37
,238.81
,222.42
,229.21
,240.29
,230.53
,231.27
,236.7
,242.54
,254.81
,271.16
,304.52
,396.99
,343.15
,328.74
,341.75
,367.37
,417.55
,451.59
,438.34
,426.55
2016,442.64
,404.26
,393.47
,386.11
,377.54
,378.75
,413.68
,428.36
,418.52
,411.98
,413.17
,413.96
,417.4
,419.49
,424.34
,439.5
,455.23
,449.12
,454.98
,449.43
,468.18
,540.55
,579.35
,703.93
,651.69
,650.47
,653.31
,658.09
,666.2
,653.92
,566.8
,589.64
,570.8
,577.58
,574.37
,610.98
,606.65
,600.2
,604.08
,609.99
,630.2
,635.45
,668
,709.95
,715.2
,721.48
,735.28
,744.6
,760.52
,777.67
,854.18
,940.33
2017,977.98
,835.22
,877.48
,909.08
,980.99
,1008.68
,1023.8
,1140.36
,1225
,1189.11
,1137.39
,1008.48
,1029.8
,1140.79
,1188.58
,1209.12
,1296.6
,1494.97
,1700.78
,1812.34
,2285.54
,2323.95
,2753.35
,2560.59
,2646.55
,2475.26
,2542.03
,2291.65
,2353.57
,2640.47
,2839.53
,3441.43
,4144.72
,4093.55
,4602.01
,4380.44
,3688.73
,3797.69
,4016.64
,4310.23
,5119.38
,5689
,5752.75
,6668.75
,7081.64
,6810.8
,8149.69
,9993.24
,13458.58
,16417.22
,15782.68
,14217.31
2018,14789.97
,14412.3
,11627.25
,11079.96
,9495.16
,7635.42
,9339.69
,10561.98
,10457.66
,9913.95
,8690.53
,8459.14
,7543.54
,6930.36
,7486.7
,8334.1
,9115.71
,9335.45
,9014.13
,8437.01
,7817.99
,7403.57
,7599.1
,6620.36
,6457.02
,6092.6
,6540.44
,6423.5
,7141.62
,7985.94
,7694.62
,6556.68
,6300.93
,6505.67
,6938.22
,6751.12
,6356.66
,6479.48
,6556.83
,6531.33
,6368.45
,6425.38
,6409.87
,6304.78
,6426.85
,5692.19
,4541.34
,3932.7
,3654.12
,3344.83
,3735.6
,3841.39
,3785.32
2019,3859.37
,3610.65
,3556.72
,3430.37
,3453.14
,3582.86
,3866.45
,3826.28
,3822.5
,3883.36
,3984.44
,3998.71
,4857.78
,5171.63
,5187.8
,5332.83
,5437.47
,6245.59
,7577.5
,7909.58
,8565.07
,7981.52
,8138.68
,9563.95
,11817.46
,10982.26
,11922.5
,10185.85
,9986.31
,10063.71
,11650.55
,10444.33
,10331.24
,9898.93
,10483.94
,10244.12
,10129.66
,8581.78
,8187.52
,8301.92
,8111.13
,8567.67
,9356.38
,9147.18
,8701.44
,7601.81
,7241.06
,7366.09
,7292.03
,6936.54
,7329.07
,7229.38
,7938.8
,8648.14
2020,8735.13
