"No.","Time","Source","Destination","Protocol","Length","Info"
"17","0.021291274","192.168.2.142","37.120.165.226","TCP","74","45294  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1154566830 TSecr=0 WS=128"
"22","0.028340446","37.120.165.226","192.168.2.142","TCP","66","443  >  45294 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"23","0.028356402","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"25","0.032381401","192.168.2.142","37.120.165.226","TLSv1.2","571","Client Hello"
"26","0.032700414","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=1 Ack=518 Win=30336 Len=0"
"91","0.781685726","37.120.165.226","192.168.2.142","TLSv1.2","208","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"92","0.781718458","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=518 Ack=155 Win=64128 Len=0"
"93","0.787376131","192.168.2.142","37.120.165.226","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"94","0.787546810","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=155 Ack=569 Win=30336 Len=0"
"95","0.788960854","192.168.2.142","37.120.165.226","TLSv1.2","231","Application Data"
"96","0.789315248","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=155 Ack=746 Win=31360 Len=0"
"104","0.998487824","37.120.165.226","192.168.2.142","TLSv1.2","123","Application Data"
"105","1.011992745","192.168.2.142","37.120.165.226","TLSv1.2","92","Application Data"
"106","1.012460620","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=224 Ack=784 Win=31360 Len=0"
"169","1.217953144","37.120.165.226","192.168.2.142","TLSv1.2","92","Application Data"
"170","1.259114577","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=784 Ack=262 Win=64128 Len=0"
"189","1.460543493","192.168.2.142","37.120.165.226","TLSv1.2","374","Application Data"
"190","1.460826982","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=262 Ack=1104 Win=32512 Len=0"
"191","1.676022074","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=262 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"192","1.676066156","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=1722 Win=64128 Len=0"
"193","1.676409145","37.120.165.226","192.168.2.142","TCP","4434","443  >  45294 [ACK] Seq=1722 Ack=1104 Win=32512 Len=4380 [TCP segment of a reassembled PDU]"
"194","1.676431565","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=6102 Win=62592 Len=0"
"195","1.676492240","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=6102 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"196","1.676500927","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=7562 Win=61568 Len=0"
"197","1.676586818","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=7562 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"198","1.676595546","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=9022 Win=60672 Len=0"
"199","1.676707429","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=9022 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"200","1.676716490","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=10482 Win=59648 Len=0"
